date,pair,target,prediction,error,rolling_std,signal
2016-09-14,Bamburi Cement Ltd_KCB Group Plc,2.1155778876718547,2.025375090694565,0.09020279697728961,0.05847898831736838,0
2016-09-15,Bamburi Cement Ltd_KCB Group Plc,2.14938273948637,2.025140248711261,0.12424249077510918,0.05436499645999927,-1
2016-09-16,Kenya Airways Plc_Car and General (K) Ltd,1.5684807555514588,1.621304460463814,-0.05282370491235522,0.032915230253280754,0
2016-09-19,Kenya Airways Plc_Car and General (K) Ltd,1.5121278190003271,1.6038461558797343,-0.09171833687940723,0.0320169802969239,1
2016-09-20,Kenya Airways Plc_Car and General (K) Ltd,1.5407011914443831,1.5725137489723577,-0.03181255752797463,0.032826494423258204,0
2016-09-21,Kenya Airways Plc_Car and General (K) Ltd,1.6029452014160623,1.5728387487869113,0.030106452629151015,0.039218287106854696,0
2016-09-22,Kenya Airways Plc_Car and General (K) Ltd,1.628920687819323,1.6065554315227624,0.02236525629656061,0.043693238655207516,0
2016-09-23,Kenya Airways Plc_Car and General (K) Ltd,1.614497654552471,1.6266746453575782,-0.012176990805107257,0.04469744409883097,0
2016-09-26,Kenya Airways Plc_Car and General (K) Ltd,1.6087546546893987,1.6369454845765727,-0.02819082988717403,0.04507985811020076,0
2016-09-27,Kenya Airways Plc_Car and General (K) Ltd,1.6474691668700894,1.6473192206177356,0.0001499462523537609,0.04593205770018168,0
2016-09-28,Kenya Airways Plc_Car and General (K) Ltd,1.5955094279393782,1.644016171912698,-0.04850674397331978,0.04497188146604112,0
2016-09-29,Kenya Airways Plc_Car and General (K) Ltd,1.6474691668700894,1.6363539190645144,0.011115247805574935,0.04614337149069302,0
2016-09-30,Kenya Airways Plc_Car and General (K) Ltd,1.6474691668700894,1.6447833228340585,0.0026858440360308933,0.0453917175431424,0
2016-10-03,Kenya Airways Plc_Car and General (K) Ltd,1.6347301410926594,1.6448522464757662,-0.010122105383106872,0.04458576499545421,0
2016-10-04,Kenya Airways Plc_Car and General (K) Ltd,1.6600479490769493,1.6496954251410927,0.010352523935856617,0.04502036823658221,0
2016-10-05,Kenya Airways Plc_Car and General (K) Ltd,1.6724704690755066,1.651177527544935,0.021292941530571596,0.0448020007943367,0
2016-10-06,Kenya Airways Plc_Car and General (K) Ltd,1.6724704690755066,1.6558386487197572,0.016631820355749394,0.039134803688741074,0
2016-09-16,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.5277216457332354,1.5317145280839861,-0.003992882350750682,0.041872100174959896,0
2016-09-19,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.5162272663075003,1.5305511664561067,-0.014323900148606405,0.04077834103873023,0
2016-09-20,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.438109487043548,1.5339356366033834,-0.09582614955983537,0.04073947444455898,1
2016-09-21,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4641420153415645,1.5285286394915352,-0.06438662414997065,0.04013622603970298,0
2016-09-22,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4641420153415645,1.5270744143584252,-0.06293239901686065,0.03886914592624796,0
2016-09-23,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.461510131488033,1.5248436982303781,-0.06333356674234514,0.035633121559076476,0
2016-09-26,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.438109487043548,1.5273639530441412,-0.08925446600059317,0.03440161972330198,1
2016-09-27,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4191814771580291,1.5281776626440615,-0.1089961854860324,0.03689814913510763,1
2016-09-28,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4255307048366883,1.5296596434796,-0.10412893864291162,0.03261925844570587,1
2016-09-29,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4566858726164837,1.5330441136268766,-0.0763582410103929,0.031574391479023946,1
2016-09-30,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4749234601662646,1.5350989982312628,-0.0601755380649982,0.029060469781089903,1
2016-10-03,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.498734108859983,1.5350989982312628,-0.036364889371279796,0.02770294075090922,0
2016-10-04,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4749234601662646,1.5305511664561067,-0.05562770628984204,0.026677645822958094,1
2016-10-05,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4566858726164837,1.5339356366033834,-0.07724976398689964,0.02651891037227116,1
2016-10-06,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.4443400367941845,1.5310892255001773,-0.0867491887059928,0.02673410870701988,1
2016-09-16,Bamburi Cement Ltd_KCB Group Plc,2.1091469973415644,2.149149409299232,-0.040002411957667405,0.06212947684693546,0
2016-09-19,Bamburi Cement Ltd_KCB Group Plc,2.1326331922964163,2.1498022577707245,-0.017169065474308187,0.06550427598692926,0
2016-09-20,Bamburi Cement Ltd_KCB Group Plc,2.1412842395010765,2.1512703540629765,-0.009986114561900017,0.06864575526150211,0
2016-09-21,Bamburi Cement Ltd_KCB Group Plc,2.1412842395010765,2.147217335515232,-0.005933096014155481,0.0708372352370379,0
2016-09-22,Bamburi Cement Ltd_KCB Group Plc,2.147674037599847,2.1498022577707245,-0.0021282201708774373,0.07383524049177435,0
2016-09-23,Bamburi Cement Ltd_KCB Group Plc,2.2088516229934987,2.1512703540629765,0.05758126893052218,0.07344704235530777,0
2016-09-26,Bamburi Cement Ltd_KCB Group Plc,2.1841590104031265,2.1518138783230993,0.032345132080027206,0.0667340616052564,0
2016-09-27,Bamburi Cement Ltd_KCB Group Plc,2.1753374964830114,2.1494582435541325,0.025879252928878937,0.06281741025051255,0
2016-09-28,Bamburi Cement Ltd_KCB Group Plc,2.11158041830654,2.1465521612378535,-0.03497174293131344,0.06663723685027577,0
2016-09-29,Bamburi Cement Ltd_KCB Group Plc,2.0337024910448527,2.145027386572412,-0.11132489552755942,0.07424652285048636,0
2016-09-30,Bamburi Cement Ltd_KCB Group Plc,1.9945968690328475,2.1422079222268455,-0.14761105319399803,0.08506481252192219,0
2016-10-03,Bamburi Cement Ltd_KCB Group Plc,2.002282550731353,2.139925442858417,-0.13764289212706382,0.0911790027878977,0
2016-10-04,Bamburi Cement Ltd_KCB Group Plc,2.0100347759563455,2.132564651607694,-0.12252987565134843,0.09204473340916669,0
